702645,46403,MCKINLEY NATIONAL PARK AIRPOR,US,AK,PAIN,63.733,-148.917,524.3,2006,1,1,2016,3,29
702645,99999,MCKINLEY NATIONAL PK,US,AK,PAIN,63.733,-148.917,524,1975,12,2,2005,12,31
702646,99999,MT MCKINLEY NATL PK,US,AK,,63.65,-148.8,625,1976,1,16,1976,4,27
702647,26499,HEALY RIVER AIRPORT,US,AK,PAHV,63.866,-148.969,3945.3,2006,1,1,2012,6,8
702647,99999,HEALY RIVER AIRPORT,US,AK,PAHV,63.87,-148.97,394,1976,12,21,2005,12,31
702648,46406,CANTWELL AIRPORT,US,AK,PATW,63.391,-148.956,667.5,2006,1,2,2011,8,27
702648,99999,CANTWELL CANTWELL,US,AK,PATW,63.4,-148.95,668,1983,11,3,2005,12,5
702650,26407,EIELSON AFB AIRPORT,US,AK,PAEI,64.683,-147.083,166.7,2006,1,2,2016,3,29
702650,99999,FAIRBANKS/EIELSON A,US,AK,PAEI,64.65,-147.067,167,1944,11,11,2005,12,31
702653,99999,EIELSON AFB       &,US,AK,,64.65,-147.067,167,1975,8,14,1975,8,14
702660,99999,FORT GREELY  AK,US,AK,,63.967,-145.7,398,1944,6,26,1990,6,28
702670,26415,ALLEN ARMY AIRFIELD,US,AK,PABI,63.994,-145.721,389.2,1945,10,15,2016,3,29
702673,99999,BIG DELTA ARCTIC WX,US,AK,,64,-145.717,389,1980,3,3,1984,12,4
702674,99999,CIRCLE CITY AIRPORT,US,AK,,65.833,-144.067,182,1979,5,7,2009,10,19
702675,26484,PAXSON AIRPORT,US,AK,PAXK,63.032,-145.498,823,2006,1,1,2010,10,3
702675,99999,PAXSON,US,AK,PAXK,63.033,-145.5,809,1974,4,19,2005,12,31
702677,99999,ISABELL PASS CAMP,US,AK,Z32,63.083,-145.5,978,1975,9,29,1976,12,2
702680,99999,GLENNALLEN  AK,US,AK,,62.1,-145.967,573,1975,4,1,1990,5,4
702685,27518,ATQASUK EDWARD BURNELL SR. ME,US,AK,PATQ,70.467,-157.436,29.3,2006,5,1,2016,3,29
702686,99999,AKIAK,US,AK,PAKI,60.903,-161.231,9.1,2006,5,1,2016,3,28
702695,96402,JONESVILLE MINE AIRPORT,US,AK,PAJV,61.714,-148.909,167.6,2006,1,1,2011,11,2
702695,99999,SUTTON,US,AK,PAJV,61.717,-148.883,265,1992,4,16,2005,12,31
702696,99999,LAZY MTN/WOLVERINE,US,AK,,61.633,-149.033,236,1978,3,15,2004,2,14
702697,107,NEW STUYAHOK AIRPORT,US,AK,PANW,59.45,-157.333,92.1,2015,5,31,2016,3,29
702697,99999,NEW STUYAHOK,US,AK,PANW,59.45,-157.33,92,2006,10,10,2015,6,2
702700,489,BRYANT ARMY AIRFIELD HELIPORT,US,AK,PAFR,61.266,-149.653,118.3,2014,1,14,2016,3,29
702710,26425,GULKANA AIRPORT,US,AK,PAGK,62.159,-145.459,476.1,1945,1,1,2016,3,29
702711,26439,SHEEP MOUNTAIN AIRPORT,US,AK,PASP,61.812,-147.507,853.4,2005,1,1,2011,11,1
702711,99999,SHEEP MOUNTAIN,US,AK,PASP,61.817,-147.55,799,1997,2,3,2004,12,31
702715,46407,SKELTON AIRPORT,US,AK,PAZK,61.949,-147.169,1002.5,2006,1,1,2016,3,29
702715,99999,EUREKA SKELTON AIR,US,AK,PAZK,61.933,-147.167,1002,1995,7,8,2005,12,31
702716,99999,TAHNETA PASS,US,AK,5GN,61.817,-147.55,900,1973,1,2,1996,1,4
702717,99999,SELAWIK,US,AK,PALK,66.6,-159.986,7.6,1973,1,1,2013,6,21
702719,99999,SNOWSHOE LAKE,US,AK,,62.033,-142.667,735,1975,9,17,1976,12,7
702720,26401,ELMENDORF AFB AIRPORT,US,AK,PAED,61.253,-149.794,64.6,2006,1,1,2016,3,29
702720,99999,ANCHORAGE/ELMENDORF,US,AK,PAED,61.25,-149.8,59,1941,3,10,2005,12,31
702725,26491,LAKE HOOD SEAPLANE BASE,US,AK,PALH,61.178,-149.966,27.4,2002,1,1,2016,3,29
702725,99999,ANCHORAGE LAKE HOOD,US,AK,PALH,61.183,-149.967,22,1973,1,4,2001,12,31
702730,26451,TED STEVENS ANCHORAGE INTL,US,AK,PANC,61.169,-150.028,36.6,1973,1,1,2016,3,29
702735,26409,MERRILL FIELD AIRPORT,US,AK,PAMR,61.217,-149.855,42.1,1945,1,1,2016,3,29
702735,99999,MERRILL FLD,US,AK,PAMR,61.2,-149.833,42,2000,1,1,2003,12,31
702736,99999,FT RICHARDSON/BRYN&,US,AK,,61.267,-149.65,115,1976,6,25,1983,7,21
702740,25331,PALMER MUNICIPAL AIRPORT,US,AK,PAAQ,61.596,-149.092,70.1,1999,1,1,2016,3,29
702740,99999,PALMER,US,AK,PAAQ,61.595,-149.089,74,1973,1,1,1998,12,31
702745,26560,WILLOW AIRPORT,US,AK,PAUO,61.748,-150.054,62.5,2006,1,1,2011,11,1
702745,99999,WILLOW AIRPORT,US,AK,PAUO,61.754,-150.052,67,1991,2,7,2005,12,31
702746,26497,BIRCHWOOD AIRPORT,US,AK,PABV,61.416,-149.507,29.3,2006,1,1,2016,3,29
702746,99999,BIRCHWOOD,US,AK,PABV,61.417,-149.5,29,1994,1,3,2005,12,31
702750,26442,NATIONAL WEATHER SERVICE OFFI,US,AK,PAVW,61.13,-146.352,29,1973,1,1,2014,4,1
